drug,indication,in_l1000_pool,ra_label
dexamethasone,"Leukemia, Plasma Cell",True,known hit (approved)
dexamethasone,"Leukemia, T-Cell",True,known hit (approved)
dexamethasone,"Leukemia-Lymphoma, Adult T-Cell",True,known hit (approved)
dexamethasone,Lichen Planus,True,known hit (approved)
dexamethasone,"Lichen Planus, Oral",True,known hit (approved)
dexamethasone,"Liposarcoma, Myxoid",True,known hit (approved)
dexamethasone,Liver Cirrhosis,True,known hit (approved)
dexamethasone,Liver Neoplasms,True,known hit (approved)
dexamethasone,"Lung Diseases, Obstructive",True,known hit (approved)
dexamethasone,Lung Neoplasms,True,known hit (approved)
dexamethasone,"Lupus Erythematosus, Systemic",True,known hit (approved)
dexamethasone,"Lymphohistiocytosis, Hemophagocytic",True,known hit (approved)
dexamethasone,Lymphoma,True,known hit (approved)
dexamethasone,"Lymphoma, Follicular",True,known hit (approved)
dexamethasone,"Lymphoma, Large B-Cell, Diffuse",True,known hit (approved)
dexamethasone,"Lymphoma, Large-Cell, Anaplastic",True,known hit (approved)
dexamethasone,"Lymphoma, Mantle-Cell",True,known hit (approved)
dexamethasone,"Lymphoma, Non-Hodgkin",True,known hit (approved)
dexamethasone,"Lymphoma, T-Cell, Cutaneous",True,known hit (approved)
dexamethasone,"Lymphoma, T-Cell, Peripheral",True,known hit (approved)
dexamethasone,Macular Degeneration,True,known hit (approved)
dexamethasone,Macular Edema,True,known hit (approved)
dexamethasone,Malaria,True,known hit (approved)
dexamethasone,Mastoiditis,True,known hit (approved)
dexamethasone,Melanoma,True,known hit (approved)
dexamethasone,Meniere Disease,True,known hit (approved)
dexamethasone,Meningeal Carcinomatosis,True,known hit (approved)
dexamethasone,Meningitis,True,known hit (approved)
dexamethasone,"Meningitis, Cryptococcal",True,known hit (approved)
dexamethasone,Mesothelioma,True,known hit (approved)
dexamethasone,Migraine Disorders,True,known hit (approved)
dexamethasone,Mouth Neoplasms,True,known hit (approved)
dexamethasone,Multiple Myeloma,True,known hit (approved)
dexamethasone,Multiple Sclerosis,True,known hit (approved)
dexamethasone,"Multiple Sclerosis, Chronic Progressive",True,known hit (approved)
dexamethasone,Mycosis Fungoides,True,known hit (approved)
dexamethasone,Myelodysplastic Syndromes,True,known hit (approved)
dexamethasone,Myocarditis,True,known hit (approved)
dexamethasone,Nasal Obstruction,True,known hit (approved)
dexamethasone,Nasopharyngeal Carcinoma,True,known hit (approved)
dexamethasone,Nausea,True,known hit (approved)
dexamethasone,Neck Pain,True,known hit (approved)
dexamethasone,Neoplasm Metastasis,True,known hit (approved)
dexamethasone,Neoplasms,True,known hit (approved)
dexamethasone,"Neoplasms, Plasma Cell",True,known hit (approved)
dexamethasone,Nephrosis,True,known hit (approved)
dexamethasone,Nephrotic Syndrome,True,known hit (approved)
dexamethasone,Nervous System Diseases,True,known hit (approved)
dexamethasone,Neuralgia,True,known hit (approved)
dexamethasone,"Ophthalmia, Sympathetic",True,known hit (approved)
dexamethasone,Optic Neuritis,True,known hit (approved)
dexamethasone,Osteoarthritis,True,known hit (approved)
dexamethasone,"Osteoarthritis, Knee",True,known hit (approved)
dexamethasone,Otitis Externa,True,known hit (approved)
dexamethasone,Otitis Media,True,known hit (approved)
dexamethasone,Ovarian Hyperstimulation Syndrome,True,known hit (approved)
dexamethasone,Ovarian Neoplasms,True,known hit (approved)
dexamethasone,POEMS Syndrome,True,known hit (approved)
dexamethasone,"Paget Disease, Extramammary",True,known hit (approved)
dexamethasone,Pain,True,known hit (approved)
dexamethasone,Pancreatic Neoplasms,True,known hit (approved)
dexamethasone,Papilledema,True,known hit (approved)
dexamethasone,Pelvic Organ Prolapse,True,known hit (approved)
dexamethasone,Pemphigus,True,known hit (approved)
dexamethasone,Peptic Ulcer,True,known hit (approved)
dexamethasone,Pharyngitis,True,known hit (approved)
dexamethasone,Plasmacytoma,True,known hit (approved)
dexamethasone,Pneumonia,True,known hit (approved)
dexamethasone,"Pneumonia, Viral",True,known hit (approved)
dexamethasone,Postoperative Complications,True,known hit (approved)
dexamethasone,Postoperative Nausea and Vomiting,True,known hit (approved)
dexamethasone,Precursor Cell Lymphoblastic Leukemia-Lymphoma,True,known hit (approved)
dexamethasone,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,True,known hit (approved)
dexamethasone,Pregnancy,True,known hit (approved)
dexamethasone,Premature Birth,True,known hit (approved)
dexamethasone,Prostatic Neoplasms,True,known hit (approved)
dexamethasone,"Prostatic Neoplasms, Castration-Resistant",True,known hit (approved)
dexamethasone,Psoriasis,True,known hit (approved)
dexamethasone,Pulmonary Eosinophilia,True,known hit (approved)
dexamethasone,Pulmonary Fibrosis,True,known hit (approved)
dexamethasone,Pulpitis,True,known hit (approved)
dexamethasone,"Purpura, Thrombocytopenic, Idiopathic",True,known hit (approved)
dexamethasone,"Purpura, Thrombotic Thrombocytopenic",True,known hit (approved)
dexamethasone,Radiculopathy,True,known hit (approved)
dexamethasone,Radius Fractures,True,known hit (approved)
dexamethasone,Rectal Neoplasms,True,known hit (approved)
dexamethasone,"Red-Cell Aplasia, Pure",True,known hit (approved)
dexamethasone,"Renal Insufficiency, Chronic",True,known hit (approved)
dexamethasone,Respiratory Distress Syndrome,True,known hit (approved)
dexamethasone,Respiratory Insufficiency,True,known hit (approved)
dexamethasone,Retinal Vein Occlusion,True,known hit (approved)
dexamethasone,Retinopathy of Prematurity,True,known hit (approved)
dexamethasone,Rhabdomyolysis,True,known hit (approved)
dexamethasone,Rheumatic Diseases,True,known hit (approved)
dexamethasone,"Rhinitis, Allergic",True,known hit (approved)
dexamethasone,"Rhinitis, Allergic, Perennial",True,known hit (approved)
dexamethasone,"Rhinitis, Allergic, Seasonal",True,known hit (approved)
dexamethasone,Rotator Cuff Injuries,True,known hit (approved)
dexamethasone,Sarcoidosis,True,known hit (approved)
dexamethasone,Sarcoma,True,known hit (approved)
dexamethasone,Sciatica,True,known hit (approved)
dexamethasone,Scleritis,True,known hit (approved)
dexamethasone,Sepsis,True,known hit (approved)
dexamethasone,Serum Sickness,True,known hit (approved)
dexamethasone,Severe Acute Respiratory Syndrome,True,known hit (approved)
dexamethasone,Sinusitis,True,known hit (approved)
dexamethasone,"Sleep Apnea, Obstructive",True,known hit (approved)
dexamethasone,Small Cell Lung Carcinoma,True,known hit (approved)
dexamethasone,Smoldering Multiple Myeloma,True,known hit (approved)
dexamethasone,Specific Language Disorder,True,known hit (approved)
dexamethasone,"Spondylitis, Ankylosing",True,known hit (approved)
dexamethasone,Stevens-Johnson Syndrome,True,known hit (approved)
dexamethasone,Stomach Neoplasms,True,known hit (approved)
dexamethasone,Strabismus,True,known hit (approved)
dexamethasone,Subarachnoid Hemorrhage,True,known hit (approved)
dexamethasone,Synovitis,True,known hit (approved)
dexamethasone,Tennis Elbow,True,known hit (approved)
dexamethasone,Tenosynovitis,True,known hit (approved)
dexamethasone,Thrombocytopenia,True,known hit (approved)
dexamethasone,"Thyroiditis, Subacute",True,known hit (approved)
dexamethasone,Tonsillitis,True,known hit (approved)
dexamethasone,Tooth Diseases,True,known hit (approved)
dexamethasone,"Toxoplasmosis, Cerebral",True,known hit (approved)
dexamethasone,Trichinellosis,True,known hit (approved)
dexamethasone,Tuberculosis,True,known hit (approved)
dexamethasone,"Tuberculosis, Meningeal",True,known hit (approved)
dexamethasone,"Tuberculosis, Pulmonary",True,known hit (approved)
dexamethasone,Urinary Bladder Neoplasms,True,known hit (approved)
dexamethasone,Urinary Tract Infections,True,known hit (approved)
dexamethasone,Uveitis,True,known hit (approved)
dexamethasone,"Uveitis, Anterior",True,known hit (approved)
dexamethasone,"Uveitis, Intermediate",True,known hit (approved)
dexamethasone,"Uveitis, Posterior",True,known hit (approved)
dexamethasone,"Vaginosis, Bacterial",True,known hit (approved)
dexamethasone,Vestibular Neuronitis,True,known hit (approved)
dexamethasone,Vitiligo,True,known hit (approved)
dexamethasone,"Vitreoretinopathy, Proliferative",True,known hit (approved)
dexamethasone,Vomiting,True,known hit (approved)
dexamethasone,Waldenstrom Macroglobulinemia,True,known hit (approved)
dexamethasone,Wet Macular Degeneration,True,known hit (approved)
dexamethasone,Wounds and Injuries,True,known hit (approved)
dexamethasone,Wrist Fractures,True,known hit (approved)
dexamethasone,Xerostomia,True,known hit (approved)
dexamethasone,rheumatoid arthritis,True,known hit (approved)
dexamethasone sodium phosphate,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
dexamethasone sodium phosphate,rheumatoid arthritis,False,out-of-pool (inert for the filter)
diacerein,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
diacerein,"Diabetes Mellitus, Type 2",True,reported RA investigation (not approved)
diacerein,Epidermolysis Bullosa,True,reported RA investigation (not approved)
diacerein,Epidermolysis Bullosa Dystrophica,True,reported RA investigation (not approved)
diacerein,Epidermolysis Bullosa Simplex,True,reported RA investigation (not approved)
diacerein,"Epidermolysis Bullosa, Junctional",True,reported RA investigation (not approved)
diacerein,Gout,True,reported RA investigation (not approved)
diacerein,Osteoarthritis,True,reported RA investigation (not approved)
diacerein,"Osteoarthritis, Hip",True,reported RA investigation (not approved)
diacerein,"Osteoarthritis, Knee",True,reported RA investigation (not approved)
diacerein,"Pemphigoid, Bullous",True,reported RA investigation (not approved)
diacerein,Rheumatic Diseases,True,reported RA investigation (not approved)
diacerein,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
diacerein,Thrombocytopenia,True,reported RA investigation (not approved)
diclofenac,Acute Pain,True,known hit (approved)
diclofenac,Aging,True,known hit (approved)
diclofenac,Alcoholism,True,known hit (approved)
diclofenac,Arthralgia,True,known hit (approved)
diclofenac,"Arthritis, Rheumatoid",True,known hit (approved)
diclofenac,Bile Duct Diseases,True,known hit (approved)
diclofenac,Carcinoma,True,known hit (approved)
diclofenac,"Carcinoma, Basal Cell",True,known hit (approved)
diclofenac,Cataract,True,known hit (approved)
diclofenac,Depressive Disorder,True,known hit (approved)
diclofenac,Dysmenorrhea,True,known hit (approved)
diclofenac,Eye Diseases,True,known hit (approved)
diclofenac,"Fractures, Bone",True,known hit (approved)
diclofenac,Infertility,True,known hit (approved)
diclofenac,Inflammation,True,known hit (approved)
diclofenac,"Keratosis, Actinic",True,known hit (approved)
diclofenac,Mastodynia,True,known hit (approved)
diclofenac,Migraine Disorders,True,known hit (approved)
diclofenac,Myalgia,True,known hit (approved)
diclofenac,Neoplasms,True,known hit (approved)
diclofenac,Osteoarthritis,True,known hit (approved)
diclofenac,"Osteoarthritis, Hip",True,known hit (approved)
diclofenac,"Osteoarthritis, Knee",True,known hit (approved)
diclofenac,Pancreatitis,True,known hit (approved)
diclofenac,Periodontitis,True,known hit (approved)
diclofenac,Pulmonary Embolism,True,known hit (approved)
diclofenac,Renal Colic,True,known hit (approved)
diclofenac,Rheumatic Diseases,True,known hit (approved)
diclofenac,"Spondylitis, Ankylosing",True,known hit (approved)
diclofenac,Sprains and Strains,True,known hit (approved)
diclofenac,Stomach Ulcer,True,known hit (approved)
diclofenac,Toothache,True,known hit (approved)
diclofenac,Wounds and Injuries,True,known hit (approved)
diclofenac,rheumatoid arthritis,True,known hit (approved)
diclofenac potassium,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
diclofenac potassium,rheumatoid arthritis,False,out-of-pool (inert for the filter)
diclofenac sodium,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
diclofenac sodium,rheumatoid arthritis,False,out-of-pool (inert for the filter)
diflunisal,"Amyloid Neuropathies, Familial",True,known hit (approved)
diflunisal,"Arthritis, Rheumatoid",True,known hit (approved)
diflunisal,"Diabetes Mellitus, Type 2",True,known hit (approved)
diflunisal,Fever,True,known hit (approved)
diflunisal,Osteoarthritis,True,known hit (approved)
diflunisal,Pain,True,known hit (approved)
diflunisal,rheumatoid arthritis,True,known hit (approved)
digoxin,"Angioedemas, Hereditary",True,reported RA investigation (not approved)
digoxin,"Arrhythmias, Cardiac",True,reported RA investigation (not approved)
digoxin,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
digoxin,Atrial Fibrillation,True,reported RA investigation (not approved)
digoxin,Breast Neoplasms,True,reported RA investigation (not approved)
digoxin,"Carcinoma, Non-Small-Cell Lung",True,reported RA investigation (not approved)
digoxin,Cardiovascular Diseases,True,reported RA investigation (not approved)
digoxin,Cytomegalovirus Infections,True,reported RA investigation (not approved)
digoxin,Depressive Disorder,True,reported RA investigation (not approved)
digoxin,"Depressive Disorder, Major",True,reported RA investigation (not approved)
digoxin,Diabetes Mellitus,True,reported RA investigation (not approved)
digoxin,"Diabetes Mellitus, Type 2",True,reported RA investigation (not approved)
digoxin,Epilepsy,True,reported RA investigation (not approved)
digoxin,Essential Hypertension,True,reported RA investigation (not approved)
digoxin,HIV Infections,True,reported RA investigation (not approved)
digoxin,Head and Neck Neoplasms,True,reported RA investigation (not approved)
digoxin,Heart Failure,True,reported RA investigation (not approved)
digoxin,"Hepatitis B, Chronic",True,reported RA investigation (not approved)
digoxin,Hepatitis C,True,reported RA investigation (not approved)
digoxin,Infections,True,reported RA investigation (not approved)
digoxin,Inflammation,True,reported RA investigation (not approved)
digoxin,"Influenza, Human",True,reported RA investigation (not approved)
digoxin,"Keratosis, Actinic",True,reported RA investigation (not approved)
digoxin,"Leukemia, Myeloid, Acute",True,reported RA investigation (not approved)
digoxin,Melanoma,True,reported RA investigation (not approved)
digoxin,Myelodysplastic Syndromes,True,reported RA investigation (not approved)
digoxin,Nausea,True,reported RA investigation (not approved)
digoxin,Neoplasms,True,reported RA investigation (not approved)
digoxin,Non-alcoholic Fatty Liver Disease,True,reported RA investigation (not approved)
digoxin,Obesity,True,reported RA investigation (not approved)
digoxin,Pain,True,reported RA investigation (not approved)
digoxin,Pancreatic Neoplasms,True,reported RA investigation (not approved)
digoxin,"Prostatic Neoplasms, Castration-Resistant",True,reported RA investigation (not approved)
digoxin,"Pulmonary Disease, Chronic Obstructive",True,reported RA investigation (not approved)
digoxin,"Sarcoma, Kaposi",True,reported RA investigation (not approved)
digoxin,Substance-Related Disorders,True,reported RA investigation (not approved)
digoxin,"Tachycardia, Supraventricular",True,reported RA investigation (not approved)
digoxin,von Hippel-Lindau Disease,True,reported RA investigation (not approved)
dilmapimod,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
dilmapimod,rheumatoid arthritis,False,out-of-pool (inert for the filter)
dimethyl fumarate,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
dimethyl fumarate,rheumatoid arthritis,False,out-of-pool (inert for the filter)
dimethyl-fumarate,"Arthritis, Psoriatic",True,reported RA investigation (not approved)
dimethyl-fumarate,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
dimethyl-fumarate,Cerebral Hemorrhage,True,reported RA investigation (not approved)
dimethyl-fumarate,Gliosarcoma,True,reported RA investigation (not approved)
dimethyl-fumarate,Immune System Diseases,True,reported RA investigation (not approved)
dimethyl-fumarate,Ischemic Stroke,True,reported RA investigation (not approved)
dimethyl-fumarate,"Leukemia, Lymphocytic, Chronic, B-Cell",True,reported RA investigation (not approved)
dimethyl-fumarate,"Lymphoma, T-Cell, Cutaneous",True,reported RA investigation (not approved)
dimethyl-fumarate,Multiple Sclerosis,True,reported RA investigation (not approved)
dimethyl-fumarate,"Multiple Sclerosis, Chronic Progressive",True,reported RA investigation (not approved)
dimethyl-fumarate,"Multiple Sclerosis, Relapsing-Remitting",True,reported RA investigation (not approved)
dimethyl-fumarate,Psoriasis,True,reported RA investigation (not approved)
dimethyl-fumarate,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
dimethyl-fumarate,"Sleep Apnea, Obstructive",True,reported RA investigation (not approved)
diosmin,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
diosmin,Cardiovascular Diseases,True,reported RA investigation (not approved)
diosmin,"Colitis, Ulcerative",True,reported RA investigation (not approved)
diosmin,Infertility,True,reported RA investigation (not approved)
diosmin,Menorrhagia,True,reported RA investigation (not approved)
diosmin,Non-alcoholic Fatty Liver Disease,True,reported RA investigation (not approved)
diosmin,Peptic Ulcer,True,reported RA investigation (not approved)
diosmin,Venous Insufficiency,True,reported RA investigation (not approved)
dipyridamole,"Anemia, Sickle Cell",True,reported RA investigation (not approved)
dipyridamole,"Angina, Stable",True,reported RA investigation (not approved)
dipyridamole,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
dipyridamole,Cardiovascular Diseases,True,reported RA investigation (not approved)
dipyridamole,Carotid Stenosis,True,reported RA investigation (not approved)
dipyridamole,Coronary Artery Disease,True,reported RA investigation (not approved)
dipyridamole,HIV Infections,True,reported RA investigation (not approved)
dipyridamole,Heart Diseases,True,reported RA investigation (not approved)
dipyridamole,Hypertension,True,reported RA investigation (not approved)
dipyridamole,IgA Vasculitis,True,reported RA investigation (not approved)
dipyridamole,Myocardial Ischemia,True,reported RA investigation (not approved)
dipyridamole,Ovarian Neoplasms,True,reported RA investigation (not approved)
dipyridamole,Pancreatic Neoplasms,True,reported RA investigation (not approved)
dipyridamole,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
dipyridamole,Stroke,True,reported RA investigation (not approved)
dipyridamole,Thrombosis,True,reported RA investigation (not approved)
doramapimod,"Arthritis, Rheumatoid (failed trial, not evidence)",True,excluded (RA trial failure)
doramapimod,Psoriasis,True,excluded (RA trial failure)
dronabinol,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
dronabinol,rheumatoid arthritis,False,out-of-pool (inert for the filter)
edicotinib,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
edicotinib,rheumatoid arthritis,False,out-of-pool (inert for the filter)
efalizumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
efalizumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
efavaleukin alfa,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
efavaleukin alfa,rheumatoid arthritis,False,out-of-pool (inert for the filter)
eldelumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
eldelumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
elsubrutinib,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
elsubrutinib,rheumatoid arthritis,False,out-of-pool (inert for the filter)
enalapril maleate,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
enalapril maleate,rheumatoid arthritis,False,out-of-pool (inert for the filter)
escitalopram,Alzheimer Disease,True,reported RA investigation (not approved)
escitalopram,Anxiety,True,reported RA investigation (not approved)
escitalopram,Anxiety Disorders,True,reported RA investigation (not approved)
escitalopram,Aphasia,True,reported RA investigation (not approved)
escitalopram,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
escitalopram,Bipolar Disorder,True,reported RA investigation (not approved)
escitalopram,Borderline Personality Disorder,True,reported RA investigation (not approved)
escitalopram,Burning Mouth Syndrome,True,reported RA investigation (not approved)
escitalopram,Carcinoma,True,reported RA investigation (not approved)
escitalopram,Cocaine-Related Disorders,True,reported RA investigation (not approved)
escitalopram,Dementia,True,reported RA investigation (not approved)
escitalopram,Depressive Disorder,True,reported RA investigation (not approved)
escitalopram,"Depressive Disorder, Major",True,reported RA investigation (not approved)
escitalopram,Digestive System Diseases,True,reported RA investigation (not approved)
escitalopram,Fibromyalgia,True,reported RA investigation (not approved)
escitalopram,Hepatitis C,True,reported RA investigation (not approved)
escitalopram,"Hypertension, Pulmonary",True,reported RA investigation (not approved)
escitalopram,Neoplasms,True,reported RA investigation (not approved)
escitalopram,Obsessive-Compulsive Disorder,True,reported RA investigation (not approved)
escitalopram,Panic Disorder,True,reported RA investigation (not approved)
escitalopram,"Phobia, Social",True,reported RA investigation (not approved)
escitalopram,Phobic Disorders,True,reported RA investigation (not approved)
escitalopram,Premature Ejaculation,True,reported RA investigation (not approved)
escitalopram,"Renal Insufficiency, Chronic",True,reported RA investigation (not approved)
escitalopram,Schizophrenia,True,reported RA investigation (not approved)
escitalopram,"Stress Disorders, Post-Traumatic",True,reported RA investigation (not approved)
escitalopram,Stroke,True,reported RA investigation (not approved)
escitalopram,Substance-Related Disorders,True,reported RA investigation (not approved)
esomeprazole magnesium,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
esomeprazole magnesium,rheumatoid arthritis,False,out-of-pool (inert for the filter)
etanercept,Acquired Hyperostosis Syndrome,False,out-of-pool (inert for the filter)
etanercept,Alzheimer Disease,False,out-of-pool (inert for the filter)
etanercept,Anorexia,False,out-of-pool (inert for the filter)
etanercept,Arthritis,False,out-of-pool (inert for the filter)
etanercept,"Arthritis, Juvenile",False,out-of-pool (inert for the filter)
etanercept,"Arthritis, Psoriatic",False,out-of-pool (inert for the filter)
etanercept,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
etanercept,Asthma,False,out-of-pool (inert for the filter)
etanercept,Cachexia,False,out-of-pool (inert for the filter)
etanercept,Chronic Urticaria,False,out-of-pool (inert for the filter)
etanercept,Dermatomyositis,False,out-of-pool (inert for the filter)
etanercept,"Diabetes Mellitus, Type 1",False,out-of-pool (inert for the filter)
etanercept,Fanconi Anemia,False,out-of-pool (inert for the filter)
etanercept,Graft vs Host Disease,False,out-of-pool (inert for the filter)
etanercept,Granulomatosis with Polyangiitis,False,out-of-pool (inert for the filter)
etanercept,HIV Infections,False,out-of-pool (inert for the filter)
etanercept,Hidradenitis Suppurativa,False,out-of-pool (inert for the filter)
etanercept,Histiocytosis,False,out-of-pool (inert for the filter)
etanercept,Immune System Diseases,False,out-of-pool (inert for the filter)
etanercept,Immunoglobulin Light-chain Amyloidosis,False,out-of-pool (inert for the filter)
etanercept,Inflammation,False,out-of-pool (inert for the filter)
etanercept,Leukemia,False,out-of-pool (inert for the filter)
etanercept,"Leukemia, Lymphocytic, Chronic, B-Cell",False,out-of-pool (inert for the filter)
etanercept,Lichen Planus,False,out-of-pool (inert for the filter)
etanercept,"Lupus Erythematosus, Cutaneous",False,out-of-pool (inert for the filter)
etanercept,Lupus Nephritis,False,out-of-pool (inert for the filter)
etanercept,Metabolic Syndrome,False,out-of-pool (inert for the filter)
etanercept,Mucocutaneous Lymph Node Syndrome,False,out-of-pool (inert for the filter)
etanercept,Myelodysplastic Syndromes,False,out-of-pool (inert for the filter)
etanercept,"Myositis, Inclusion Body",False,out-of-pool (inert for the filter)
etanercept,Neoplasms,False,out-of-pool (inert for the filter)
etanercept,Pemphigus,False,out-of-pool (inert for the filter)
etanercept,Persian Gulf Syndrome,False,out-of-pool (inert for the filter)
etanercept,Pneumonia,False,out-of-pool (inert for the filter)
etanercept,Polymyalgia Rheumatica,False,out-of-pool (inert for the filter)
etanercept,"Prostatic Neoplasms, Castration-Resistant",False,out-of-pool (inert for the filter)
etanercept,Psoriasis,False,out-of-pool (inert for the filter)
etanercept,"Pulmonary Disease, Chronic Obstructive",False,out-of-pool (inert for the filter)
etanercept,Pulmonary Fibrosis,False,out-of-pool (inert for the filter)
etanercept,Radiculopathy,False,out-of-pool (inert for the filter)
etanercept,"Renal Insufficiency, Chronic",False,out-of-pool (inert for the filter)
etanercept,Reperfusion Injury,False,out-of-pool (inert for the filter)
etanercept,Sciatica,False,out-of-pool (inert for the filter)
etanercept,Sjogren's Syndrome,False,out-of-pool (inert for the filter)
etanercept,Spondylarthropathies,False,out-of-pool (inert for the filter)
etanercept,Spondylitis,False,out-of-pool (inert for the filter)
etanercept,"Spondylitis, Ankylosing",False,out-of-pool (inert for the filter)
etanercept,Stevens-Johnson Syndrome,False,out-of-pool (inert for the filter)
etanercept,Stomatitis,False,out-of-pool (inert for the filter)
etanercept,Subarachnoid Hemorrhage,False,out-of-pool (inert for the filter)
etanercept,Synovitis,False,out-of-pool (inert for the filter)
etanercept,Temporomandibular Joint Disorders,False,out-of-pool (inert for the filter)
etanercept,Tinnitus,False,out-of-pool (inert for the filter)
etanercept,Vitiligo,False,out-of-pool (inert for the filter)
etanercept,rheumatoid arthritis,False,out-of-pool (inert for the filter)
etaracizumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
etaracizumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
etodolac,Acute Pain,True,known hit (approved)
etodolac,"Arthritis, Juvenile",True,known hit (approved)
etodolac,"Arthritis, Rheumatoid",True,known hit (approved)
etodolac,"Carcinoma, Hepatocellular",True,known hit (approved)
etodolac,Colorectal Neoplasms,True,known hit (approved)
etodolac,Lecithin Cholesterol Acyltransferase Deficiency,True,known hit (approved)
etodolac,Muscular Diseases,True,known hit (approved)
etodolac,Osteoarthritis,True,known hit (approved)
etodolac,Pain,True,known hit (approved)
etodolac,Pancreatic Neoplasms,True,known hit (approved)
etodolac,Rheumatic Diseases,True,known hit (approved)
etodolac,Sprains and Strains,True,known hit (approved)
etodolac,rheumatoid arthritis,True,known hit (approved)
etoricoxib,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
etoricoxib,Bone Neoplasms,True,reported RA investigation (not approved)
etoricoxib,Dysmenorrhea,True,reported RA investigation (not approved)
etoricoxib,HIV Infections,True,reported RA investigation (not approved)
etoricoxib,Low Back Pain,True,reported RA investigation (not approved)
etoricoxib,Melanoma,True,reported RA investigation (not approved)
etoricoxib,Osteoarthritis,True,reported RA investigation (not approved)
etoricoxib,"Osteoarthritis, Knee",True,reported RA investigation (not approved)
etoricoxib,Pain,True,reported RA investigation (not approved)
etoricoxib,"Prostatic Neoplasms, Castration-Resistant",True,reported RA investigation (not approved)
etoricoxib,Rheumatic Diseases,True,reported RA investigation (not approved)
etoricoxib,"Spondylitis, Ankylosing",True,reported RA investigation (not approved)
etoricoxib,Toothache,True,reported RA investigation (not approved)
etoricoxib,Tuberculosis,True,reported RA investigation (not approved)
etoricoxib,Wounds and Injuries,True,reported RA investigation (not approved)
evobrutinib,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
evobrutinib,rheumatoid arthritis,False,out-of-pool (inert for the filter)
famotidine,"Anemia, Sickle Cell",True,known hit (approved)
famotidine,"Arthritis, Rheumatoid",True,known hit (approved)
famotidine,Breast Carcinoma In Situ,True,known hit (approved)
famotidine,Breast Neoplasms,True,known hit (approved)
famotidine,"Carcinoma, Non-Small-Cell Lung",True,known hit (approved)
famotidine,Chest Pain,True,known hit (approved)
famotidine,Colorectal Neoplasms,True,known hit (approved)
famotidine,Duodenal Ulcer,True,known hit (approved)
famotidine,Eosinophilic Esophagitis,True,known hit (approved)
famotidine,Esophagitis,True,known hit (approved)
famotidine,Fibrosis,True,known hit (approved)
famotidine,Gastroesophageal Reflux,True,known hit (approved)
famotidine,Gastrointestinal Hemorrhage,True,known hit (approved)
famotidine,Glycogen Storage Disease Type III,True,known hit (approved)
famotidine,HIV Infections,True,known hit (approved)
famotidine,Heartburn,True,known hit (approved)
famotidine,Immunoglobulin G4-Related Disease,True,known hit (approved)
famotidine,"Leukemia, Hairy Cell",True,known hit (approved)
famotidine,"Lupus Erythematosus, Systemic",True,known hit (approved)
famotidine,Melanoma,True,known hit (approved)
famotidine,Mesothelioma,True,known hit (approved)
famotidine,Movement Disorders,True,known hit (approved)
famotidine,Neoplasms,True,known hit (approved)
famotidine,Osteoarthritis,True,known hit (approved)
famotidine,Peptic Ulcer,True,known hit (approved)
famotidine,Psoriasis,True,known hit (approved)
famotidine,Schizophrenia,True,known hit (approved)
famotidine,Severe Acute Respiratory Syndrome,True,known hit (approved)
famotidine,Stomach Neoplasms,True,known hit (approved)
famotidine,Stomach Ulcer,True,known hit (approved)
famotidine,Thyroid Neoplasms,True,known hit (approved)
famotidine,Ulcer,True,known hit (approved)
famotidine,rheumatoid arthritis,True,known hit (approved)
